Section,Day,Time,TimeSlot,Subject,SubjectName,Teacher,TeacherName,Room,RoomType,ActivityType,Scheme,WeeklyHours
SEC65,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC65,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC65,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC65,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC65,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC65,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC66,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC66,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC66,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC66,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC66,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC66,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC66,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC66,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC66,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC66,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC66,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC66,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC67,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC67,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC67,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC67,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC67,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC67,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC67,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC67,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC67,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC67,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC67,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC67,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC68,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC68,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC68,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC68,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC68,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC68,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC68,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC68,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC68,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC68,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC68,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC68,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC69,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC69,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC69,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC69,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC69,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC69,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC69,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC69,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC69,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC69,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC69,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC69,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC70,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC70,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC70,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC70,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
